Column_ID,ibutton_ID,leaf_treatment,sediment_g,dry_input_leaves_g,dry_output_leaves_g,ceramic_pot_g_leaves,ceramic_pot+dry_leaves_g,ceramic_pot+burned_leaves_g,leaf_OM,incubation_water_mL,groundwater_ml,temp_C
1,43,control,499.3,0,0,NA,NA,NA,NA,500,1000,25
2,22,low,501.3,2.0147,1.7039,25.3191,26.1543,25.5067,77.53831418,500,1000,25
3,21,medium,500.4,4.9982,3.8299,24.5372,26.1877,24.8232,82.6719176,500,1000,25
4,33,high,501.5,10,8.0601,32.0115,34.0226,32.3455,83.39217344,500,1000,25
5,61,control,500.1,0,0,NA,NA,NA,NA,500,1000,25
6,1,low,501.2,2.0097,1.5659,28.5773,29.1879,28.7503,71.66721258,500,1000,25
7,15,medium,500.4,5.0122,3.846,33.3235,33.6868,33.3821,83.87007982,500,1000,25
8,8,high,500.8,9.9,7.5771,23.1924,25.1105,23.4731,85.3657265,500,1000,25
9,30,control,500.4,0,0,NA,NA,NA,NA,500,1000,25
10,10,low,499.7,2.0012,1.7572,22.3402,23.5656,22.6115,77.86029052,500,1000,25
11,48,medium,501.2,5.0058,4.4344,24.245,25.783,24.5135,82.54226268,500,1000,25
12,2,high,501.4,10,8.3792,24.0053,25.4629,24.2654,82.15559824,500,1000,25
13,89,control,500,0,0,NA,NA,NA,NA,500,1000,20
14,36,low,499.9,1.9993,1.9275,22.1631,23.1784,22.4812,68.66935881,500,1000,20
15,27,medium,500,5.0135,4.0314,25.2381,26.9391,25.5975,78.8712522,500,1000,20
16,23,high,500.2,10,7.4033,32.9582,33.3468,33.0116,86.25836336,500,1000,20
17,58,control,500.9,0,0,NA,NA,NA,NA,500,1000,20
18,70,low,499.5,2.0115,1.6854,30.0418,31.0107,30.2352,80.03921973,500,1000,20
19,4,medium,500.1,5.0118,4.9502,28.6474,30.2037,29.1805,65.74567885,500,1000,20
20,9,high,500.3,10,8.1744,29.7761,31.7823,30.1058,83.56594557,500,1000,20
21,34,control,500.6,0,0,NA,NA,NA,NA,500,1000,20
22,96,low,500.4,2.013,1.6447,25.2433,25.9966,25.3874,80.87083499,500,1000,20
23,29,medium,500,5.0102,4.6195,29.8643,31.8448,30.325,76.73819742,500,1000,20
24,56,high,500.1,10,7.6453,25.806,27.4328,26.0294,86.26751906,500,1000,20
25,46,control,500.4,0,0,NA,NA,NA,NA,500,1000,30
26,79,low,500.4,2.0049,1.9603,22.8865,23.8528,23.167,70.9717479,500,1000,30
27,97,medium,500.9,5.0005,4.076,24.2916,25.95,24.6563,78.00892426,500,1000,30
28,69,high,499.8,10,6.5571,28.3996,29.9034,28.6061,86.26812076,500,1000,30
29,37,control,499.6,0,0,NA,NA,NA,NA,500,1000,30
30,66,low,501.1,2.0071,1.6106,33.0633,33.9531,33.3017,73.20746235,500,1000,30
31,68,medium,500.2,4.987,4.2744,23.5485,25.1413,23.9987,71.73530889,500,1000,30
32,74,high,500.5,10,7.675,29.5798,31.2229,29.8833,81.52881748,500,1000,30
33,35,control,499.9,0,0,NA,NA,NA,NA,500,1000,30
34,73,low,500.7,2.004,1.5117,31.7181,32.1698,31.7864,84.8793447,500,1000,30
35,59,medium,499.5,5.0108,3.7277,26.2258,27.7091,26.4949,81.85801928,500,1000,30
36,62,high,500.5,10,6.9784,26.1151,27.7582,26.3475,85.8560039,500,1000,30
